20240318,4089,03,0043,,2,6100,0,6100,9200000000044,6100.0,1.0,001,0,111941
20240318,4089,03,0043,,2,6100,0,6100,9400000000512,0.0,1.0,002,,111941
20240316,4043,98,0107,,2,4500,0,4500,0000000000094,4500.0,1.0,001,0,130355
20240316,4043,98,0107,,2,4500,0,4500,9400000000503,0.0,1.0,002,,130355
20240318,4089,03,0044,,2,6100,0,6100,9200000000044,6100.0,1.0,001,0,131330
20240318,4089,03,0044,,2,6100,0,6100,9400000000512,0.0,1.0,002,,131330
20240318,4089,01,0999,,2,4500,500,4000,0000000000094,4000.0,1.0,001,0,132004
20240318,4089,01,0999,,2,4500,500,4000,9400000000503,0.0,1.0,002,,132004
20240318,4089,01,1002,,2,10000,1000,9000,0000000000041,9000.0,2.0,001,0,133839
20240318,4089,01,1002,,2,10000,1000,9000,9400000000503,0.0,2.0,002,,133839
20240318,4089,01,1003,,2,9000,1000,8000,0000000000094,8000.0,2.0,001,0,134500
20240318,4089,01,1003,,2,9000,1000,8000,9400000000503,0.0,2.0,002,,134500
20240318,4089,01,1004,,2,4500,500,4000,0000000000094,4000.0,1.0,001,0,134601
20240318,4089,01,1004,,2,4500,500,4000,9400000000503,0.0,1.0,002,,134601
20240318,4089,01,1007,,2,4500,2250,2250,0000000000094,2250.0,1.0,001,0,150622
20240318,4089,01,1007,,2,4500,2250,2250,9400000000503,0.0,1.0,002,,150622
20240315,3456,03,1438,,2,5700,0,5700,9200000000187,5700.0,1.0,001,0,151413
20240315,3456,03,1438,,2,5700,0,5700,9400000000503,0.0,1.0,002,,151413
20240318,4089,01,1010,,2,4500,2250,2250,0000000000094,2250.0,1.0,001,0,152525
20240318,4089,01,1010,,2,4500,2250,2250,9400000000503,0.0,1.0,002,,152525
20240318,4089,03,0048,,2,12600,6300,6300,9200000002502,6300.0,2.0,001,0,160404
20240318,4089,03,0048,,2,12600,6300,6300,9400000000512,0.0,2.0,002,,160404
20240306,4089,03,0003,,2,5500,0,5500,0000000135608,5500.0,1.0,001,0,154158
20240306,4089,03,0003,,2,5500,0,5500,9400000000503,0.0,1.0,002,,154158
20240306,4089,03,0005,,2,10000,0,10000,0000000000041,10000.0,2.0,001,0,154651
20240306,4089,03,0005,,2,10000,0,10000,9400000000503,0.0,2.0,002,,154651
20240306,4089,03,0006,,2,5500,0,5500,0000000135608,5500.0,1.0,001,0,154854
20240306,4089,03,0006,,2,5500,0,5500,9400000000503,0.0,1.0,002,,154854
20240306,4089,03,0011,,2,55000,0,55000,0000000000046,55000.0,10.0,001,0,155548
20240306,4089,03,0011,,2,55000,0,55000,9400000000503,0.0,10.0,002,,155548
20240306,4089,03,0012,,2,55000,0,55000,0000000000046,55000.0,10.0,001,0,155609
20240306,4089,03,0012,,2,55000,0,55000,9400000000503,0.0,10.0,002,,155609
20240306,4089,03,0014,,2,5900,0,5900,0000000107051,5900.0,1.0,001,0,161143
20240306,4089,03,0014,,2,5900,0,5900,9400000000512,0.0,1.0,002,,161143
20240306,4089,03,0015,,2,5900,0,5900,0000000107051,5900.0,1.0,001,0,161230
20240306,4089,03,0015,,2,5900,0,5900,9400000000512,0.0,1.0,002,,161230
20240306,4089,03,0016,,1,37000,0,37000,0000011103352,37000.0,1.0,001,0,161926
20240306,4089,03,0017,,4,77800,0,77800,0000011103352,37000.0,1.0,001,0,162101
20240306,4089,03,0017,,4,77800,0,77800,0000000000002,4200.0,1.0,002,0,162101
20240306,4089,03,0017,,4,77800,0,77800,0000011103352,37000.0,1.0,003,0,162101
20240306,4089,03,0017,,4,77800,0,77800,9900000001147,-400.0,1.0,004,0,162101
20240306,4089,03,0019,,2,4200,0,4200,0000000000002,4200.0,1.0,001,0,162734
20240306,4089,03,0019,,2,4200,0,4200,9400000000503,0.0,1.0,002,,162734
20240306,4089,03,0020,,2,4200,0,4200,0000000000002,4200.0,1.0,001,0,162748
20240306,4089,03,0020,,2,4200,0,4200,9400000000503,0.0,1.0,002,,162748
20240306,4089,03,0021,,2,6300,0,6300,0000000169001,6300.0,1.0,001,0,163252
20240306,4089,03,0021,,2,6300,0,6300,9400000000513,0.0,1.0,002,,163252
20240306,4089,03,0023,,2,6300,0,6300,0000000169001,6300.0,1.0,001,0,163308
20240306,4089,03,0023,,2,6300,0,6300,9400000000513,0.0,1.0,002,,163308
20240306,4089,03,0025,,3,11400,0,11400,0000000126197,5900.0,1.0,001,0,163359
20240306,4089,03,0025,,3,11400,0,11400,0000000135608,5500.0,1.0,002,0,163359
20240306,4089,03,0025,,3,11400,0,11400,9400000000503,0.0,2.0,003,,163359
20240306,4089,03,0026,,3,11400,0,11400,0000000126197,5900.0,1.0,001,0,163550
20240306,4089,03,0026,,3,11400,0,11400,0000000135608,5500.0,1.0,002,0,163550
20240306,4089,03,0026,,3,11400,0,11400,9400000000503,0.0,2.0,003,,163550
20240308,3456,10,0184,,2,4200,0,4200,0000000000002,4200.0,1.0,001,0,103339
20240308,3456,10,0184,,2,4200,0,4200,9400000000503,0.0,1.0,002,,103339
20240319,4043,98,0004,,7,15000,0,15000,0000000000094,4500.0,1.0,001,0,140815
20240319,4043,98,0004,,7,15000,0,15000,9400000001474,0.0,1.0,002,0,140815
20240319,4043,98,0004,,7,15000,0,15000,0000000000038,5000.0,1.0,003,0,140815
20240319,4043,98,0004,,7,15000,0,15000,9400000001474,0.0,1.0,004,0,140815
20240319,4043,98,0004,,7,15000,0,15000,0000000000046,5500.0,1.0,005,0,140815
20240319,4043,98,0004,,7,15000,0,15000,9400000001474,0.0,1.0,006,0,140815
